Day,Branch,Section,Batch,Time,Activity,Room,Subject/Notes
FRI,CSE,A,A1 & A2,09:00-10:00,Theory/Project,A-Classroom,CSE_COMPUTER_NETWORKS_2
FRI,CSE,A,A1 & A2,11:20-12:20,Theory/Project,A-Classroom,CSE_SOFTWARE_ENGINEERING_1
FRI,CSE,A,A1 & A2,15:00-16:00,Theory/Project,A-Classroom,CSE_PROFESSIONAL_ELECTIV_5
MON,CSE,A,A1 & A2,10:00-11:00,Theory/Project,A-Classroom,CSE_AUTOMATA_THEORY_AND__4
MON,CSE,A,A1 & A2,14:00-15:00,Theory/Project,A-Classroom,CSE_PROFESSIONAL_ELECTIV_5
MON,CSE,A,A1 & A2,16:00-17:00,Theory/Project,A-Classroom,CSE_COMPUTER_NETWORKS_2
THU,CSE,A,A1 & A2,09:00-10:00,Theory/Project,A-Classroom,CSE_DATABASE_MANAGEMENT__3
THU,CSE,A,A1 & A2,10:00-11:00,Theory/Project,A-Classroom,CSE_SOFTWARE_ENGINEERING_1
THU,CSE,A,A1,11:20-12:20,Lab,CSE_Lab2,CSE_COMPUTER_NETWORKS_LA_7
THU,CSE,A,A2,11:20-12:20,Lab,CSE_Lab1,CSE_DBMS_LABORATORY_6
THU,CSE,A,A1 & A2,15:00-16:00,Theory/Project,A-Classroom,CSE_COMPUTER_NETWORKS_2
TUE,CSE,A,A1 & A2,09:00-10:00,Theory/Project,A-Classroom,CSE_PROFESSIONAL_ELECTIV_5
TUE,CSE,A,A1 & A2,10:00-11:00,Theory/Project,A-Classroom,CSE_AUTOMATA_THEORY_AND__4
TUE,CSE,A,A1,11:20-12:20,Lab,CSE_Lab1,CSE_DBMS_LABORATORY_6
TUE,CSE,A,A2,11:20-12:20,Lab,CSE_Lab2,CSE_COMPUTER_NETWORKS_LA_7
TUE,CSE,A,A1 & A2,16:00-17:00,Theory/Project,A-Classroom,CSE_DATABASE_MANAGEMENT__3
WED,CSE,A,A1 & A2,09:00-10:00,Theory/Project,A-Classroom,CSE_SOFTWARE_ENGINEERING_1
WED,CSE,A,A1 & A2,10:00-11:00,Theory/Project,A-Classroom,CSE_AUTOMATA_THEORY_AND__4
WED,CSE,A,A1 & A2,15:00-16:00,Theory/Project,A-Classroom,CSE_DATABASE_MANAGEMENT__3
FRI,CSE,B,B1 & B2,09:00-10:00,Theory/Project,B-Classroom,CSE_SOFTWARE_ENGINEERING_1
FRI,CSE,B,B1 & B2,11:20-12:20,Theory/Project,B-Classroom,CSE_COMPUTER_NETWORKS_2
FRI,CSE,B,B1 & B2,12:20-13:20,Theory/Project,B-Classroom,CSE_AUTOMATA_THEORY_AND__4
MON,CSE,B,B1 & B2,10:00-11:00,Theory/Project,B-Classroom,CSE_AUTOMATA_THEORY_AND__4
MON,CSE,B,B1 & B2,11:20-12:20,Theory/Project,B-Classroom,CSE_SOFTWARE_ENGINEERING_1
MON,CSE,B,B1 & B2,15:00-16:00,Theory/Project,B-Classroom,CSE_PROFESSIONAL_ELECTIV_5
THU,CSE,B,B1,09:00-10:00,Lab,CSE_Lab2,CSE_COMPUTER_NETWORKS_LA_7
THU,CSE,B,B2,09:00-10:00,Lab,CSE_Lab1,CSE_DBMS_LABORATORY_6
THU,CSE,B,B1 & B2,11:20-12:20,Theory/Project,B-Classroom,CSE_DATABASE_MANAGEMENT__3
THU,CSE,B,B1 & B2,12:20-13:20,Theory/Project,B-Classroom,CSE_COMPUTER_NETWORKS_2
THU,CSE,B,B1 & B2,14:00-15:00,Theory/Project,B-Classroom,CSE_AUTOMATA_THEORY_AND__4
TUE,CSE,B,B1,09:00-10:00,Lab,CSE_Lab1,CSE_DBMS_LABORATORY_6
TUE,CSE,B,B2,09:00-10:00,Lab,CSE_Lab2,CSE_COMPUTER_NETWORKS_LA_7
TUE,CSE,B,B1 & B2,12:20-13:20,Theory/Project,B-Classroom,CSE_DATABASE_MANAGEMENT__3
TUE,CSE,B,B1 & B2,14:00-15:00,Theory/Project,B-Classroom,CSE_SOFTWARE_ENGINEERING_1
TUE,CSE,B,B1 & B2,15:00-16:00,Theory/Project,B-Classroom,CSE_PROFESSIONAL_ELECTIV_5
WED,CSE,B,B1 & B2,11:20-12:20,Theory/Project,B-Classroom,CSE_COMPUTER_NETWORKS_2
WED,CSE,B,B1 & B2,14:00-15:00,Theory/Project,B-Classroom,CSE_DATABASE_MANAGEMENT__3
WED,CSE,B,B1 & B2,15:00-16:00,Theory/Project,B-Classroom,CSE_PROFESSIONAL_ELECTIV_5
FRI,CSE,C,C1 & C2,11:20-12:20,Theory/Project,C-Classroom,CSE_AUTOMATA_THEORY_AND__4
FRI,CSE,C,C1 & C2,14:00-15:00,Theory/Project,C-Classroom,CSE_DATABASE_MANAGEMENT__3
FRI,CSE,C,C1 & C2,16:00-17:00,Theory/Project,C-Classroom,CSE_COMPUTER_NETWORKS_2
MON,CSE,C,C1 & C2,12:20-13:20,Theory/Project,C-Classroom,CSE_PROFESSIONAL_ELECTIV_5
MON,CSE,C,C1 & C2,15:00-16:00,Theory/Project,C-Classroom,CSE_AUTOMATA_THEORY_AND__4
MON,CSE,C,C1 & C2,16:00-17:00,Theory/Project,C-Classroom,CSE_DATABASE_MANAGEMENT__3
THU,CSE,C,C1 & C2,09:00-10:00,Theory/Project,C-Classroom,CSE_COMPUTER_NETWORKS_2
THU,CSE,C,C1,11:20-12:20,Lab,CSE_Lab2,CSE_COMPUTER_NETWORKS_LA_7
THU,CSE,C,C2,11:20-12:20,Lab,CSE_Lab1,CSE_DBMS_LABORATORY_6
THU,CSE,C,C1 & C2,15:00-16:00,Theory/Project,C-Classroom,CSE_SOFTWARE_ENGINEERING_1
THU,CSE,C,C1 & C2,16:00-17:00,Theory/Project,C-Classroom,CSE_AUTOMATA_THEORY_AND__4
TUE,CSE,C,C1 & C2,09:00-10:00,Theory/Project,C-Classroom,CSE_PROFESSIONAL_ELECTIV_5
TUE,CSE,C,C1 & C2,10:00-11:00,Theory/Project,C-Classroom,CSE_DATABASE_MANAGEMENT__3
TUE,CSE,C,C1 & C2,12:20-13:20,Theory/Project,C-Classroom,CSE_SOFTWARE_ENGINEERING_1
TUE,CSE,C,C1,14:00-15:00,Lab,CSE_Lab1,CSE_DBMS_LABORATORY_6
TUE,CSE,C,C2,14:00-15:00,Lab,CSE_Lab2,CSE_COMPUTER_NETWORKS_LA_7
WED,CSE,C,C1 & C2,09:00-10:00,Theory/Project,C-Classroom,CSE_SOFTWARE_ENGINEERING_1
WED,CSE,C,C1 & C2,11:20-12:20,Theory/Project,C-Classroom,CSE_PROFESSIONAL_ELECTIV_5
WED,CSE,C,C1 & C2,15:00-16:00,Theory/Project,C-Classroom,CSE_COMPUTER_NETWORKS_2
FRI,ECE,F,F1 & F2,10:00-11:00,Theory/Project,F-Classroom,ECE_TECHNOLOGICAL_INNOVA_1
FRI,ECE,F,F1 & F2,14:00-15:00,Theory/Project,F-Classroom,ECE_DIGITAL_COMMUNICATIO_3
FRI,ECE,F,F1 & F2,15:00-16:00,Theory/Project,F-Classroom,ECE_DIGITAL_SIGNAL_PROCE_2
MON,ECE,F,F1 & F2,10:00-11:00,Theory/Project,F-Classroom,ECE_ELECTROMAGNETIC_WAVE_5
MON,ECE,F,F1 & F2,14:00-15:00,Theory/Project,F-Classroom,ECE_DIGITAL_SIGNAL_PROCE_2
MON,ECE,F,F1 & F2,16:00-17:00,Theory/Project,F-Classroom,ECE_TECHNOLOGICAL_INNOVA_1
THU,ECE,F,F1 & F2,10:00-11:00,Theory/Project,F-Classroom,ECE_INFORMATION_THEORY_C_4
THU,ECE,F,F1 & F2,12:20-13:20,Theory/Project,F-Classroom,ECE_DIGITAL_SIGNAL_PROCE_2
THU,ECE,F,F1,14:00-15:00,Lab,ECE_Lab2,ECE_HDL_DESIGN_LABORATOR_7
THU,ECE,F,F2,14:00-15:00,Lab,ECE_Lab1,ECE_DIGITAL_SIGNAL_PROCE_6
THU,ECE,F,F1 & F2,16:00-17:00,Theory/Project,F-Classroom,ECE_DIGITAL_COMMUNICATIO_3
TUE,ECE,F,F1 & F2,10:00-11:00,Theory/Project,F-Classroom,ECE_INFORMATION_THEORY_C_4
TUE,ECE,F,F1,11:20-12:20,Lab,ECE_Lab1,ECE_DIGITAL_SIGNAL_PROCE_6
TUE,ECE,F,F2,11:20-12:20,Lab,ECE_Lab2,ECE_HDL_DESIGN_LABORATOR_7
TUE,ECE,F,F1 & F2,15:00-16:00,Theory/Project,F-Classroom,ECE_ELECTROMAGNETIC_WAVE_5
TUE,ECE,F,F1 & F2,16:00-17:00,Theory/Project,F-Classroom,ECE_DIGITAL_COMMUNICATIO_3
WED,ECE,F,F1 & F2,11:20-12:20,Theory/Project,F-Classroom,ECE_INFORMATION_THEORY_C_4
WED,ECE,F,F1 & F2,12:20-13:20,Theory/Project,F-Classroom,ECE_ELECTROMAGNETIC_WAVE_5
WED,ECE,F,F1 & F2,14:00-15:00,Theory/Project,F-Classroom,ECE_DIGITAL_COMMUNICATIO_3
FRI,ISE,D,D1 & D2,10:00-11:00,Theory/Project,D-Classroom,ISE_SOFTWARE_ENGINEERING_1
FRI,ISE,D,D1 & D2,12:20-13:20,Theory/Project,D-Classroom,ISE_FILE_STRUCTURES_3
FRI,ISE,D,D1 & D2,14:00-15:00,Theory/Project,D-Classroom,ISE_OPERATING_SYSTEMS_4
MON,ISE,D,D1,09:00-10:00,Lab,ISE_Lab1,ISE_DATA_VISUALIZATION_L_6
MON,ISE,D,D2,09:00-10:00,Lab,ISE_Lab2,ISE_FILE_STRUCTURES_LABO_7
MON,ISE,D,D1 & D2,11:20-12:20,Theory/Project,D-Classroom,ISE_SOFTWARE_ENGINEERING_1
MON,ISE,D,D1 & D2,12:20-13:20,Theory/Project,D-Classroom,ISE_OPERATING_SYSTEMS_4
MON,ISE,D,D1 & D2,14:00-15:00,Theory/Project,D-Classroom,ISE_FILE_STRUCTURES_3
MON,ISE,D,D1 & D2,15:00-16:00,Theory/Project,D-Classroom,ISE_COMPUTER_NETWORKS_2
THU,ISE,D,D1 & D2,09:00-10:00,Theory/Project,D-Classroom,ISE_OPERATING_SYSTEMS_4
THU,ISE,D,D1 & D2,11:20-12:20,Theory/Project,D-Classroom,ISE_ARTIFICIAL_INTELLIGE_5
THU,ISE,D,D1 & D2,15:00-16:00,Theory/Project,D-Classroom,ISE_COMPUTER_NETWORKS_2
TUE,ISE,D,D1 & D2,09:00-10:00,Theory/Project,D-Classroom,ISE_COMPUTER_NETWORKS_2
TUE,ISE,D,D1 & D2,10:00-11:00,Theory/Project,D-Classroom,ISE_SOFTWARE_ENGINEERING_1
TUE,ISE,D,D1 & D2,12:20-13:20,Theory/Project,D-Classroom,ISE_FILE_STRUCTURES_3
TUE,ISE,D,D1 & D2,15:00-16:00,Theory/Project,D-Classroom,ISE_ARTIFICIAL_INTELLIGE_5
WED,ISE,D,D1 & D2,09:00-10:00,Theory/Project,D-Classroom,ISE_COMPUTER_NETWORKS_2
